Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
Matematikk.org ;n.d.;Website;"Mattespill og -oppgaver. Målet er å bidra til at stadig flere skal få en opplevelse av at matematikk er et spennende og nyttig fag. Jobber daglig med å være førstevalget på Internett innen matematikkformidling ved å være: Inspirasjonssenter for matematikklærere; Verktøy som vekker nysgjerrighet og interesse hos elever; Opplysningssenter for foreldre med barn i skolen; Nettsted fylt av levende matematikk for alle. Nettstedet er åpent og tilgjengelig for alle - alt er gratis!";-;matematikk.org;Norwegian;Misc.;Yes;All;https://www.matematikk.org/
Math Art: Truth, Beauty, and Equations;2019;Book;From geometry in motion to the possibilities of pi, this stunning volume reveals how art inspired the beauty and poetry of mathematical principles. The worlds of visual art and mathematics come together in this spectacular volume by award-winning writer Stephen Ornes. He explores the growing sensation of math art, presenting more than 80 pieces, including a crocheted, colorful representation of non-Euclidian geometry that looks like sea coral and a 65-ton, 28-foot-tall bronze sculpture covered in a space-filling curve. For each work, we get the artist's story followed by accessible and thought-provoking explanations of the mathematical concept and equations behind the art. From 3D-printed objects that give real form to abstract mathematical theories, to mystic fractals, to Andy Warhol as a solution to the Traveling Salesman Problem, these artworks embody some of strangest, most beautiful relationships among numbers and across dimensions.;Stephen Ornes;Union Square & Co.;English;;;;https://www.adlibris.com/nb/bok/math-art-9781454930440?utm_source=google&utm_medium=cpc&utm_campaign=AR%3A+BOK+-+pMAX+Shopping+-+Generic+-+B%C3%B6cker+ENG&gad_source=1&gclid=CjwKCAiArKW-BhAzEiwAZhWsID3-9GNkQmmhAw7tFglNxxDp3i62hHLtfEI8rxcHTEwngOD6if4s7BoCUS8QAvD_BwE
Math Central;1995–2012;Website;Award-winning website with investigations for teachers and students.;-;University of Regina;English | French | Spanish;Misc.;Yes;8–13;http://mathcentral.uregina.ca/about/
Math Circle;1994;Didactics;Private, digital math lessons organised for children. The lessons claim to be how ‘mathematicians do maths’. The groups are less than ten people and require no preparation. ;Robert Kplan | Ellen Kaplan;Global Math Circle;English;Problem solving;Yes;All;
Math for Love;n.d.;Website;Cool math problems that are beautiful and thought provoking. Favorite lessons and complex problems.;Dan Finkel | Katherine Cook;Math for Love;English;Misc.;Yes;1–6;https://mathforlove.com/
Math Is Fun;2021;Website;Website offering mathematics in an enjoyable and easy-to-learn manner. Aimed towards covering the full Kindergarten to Year 12 curriculum.;-;MathsIsFun.com;English;Misc.;Yes;All;https://www.mathsisfun.com/
Math Masters;2007–;Paper column;This website is a collection of fun mathematical resources that we've developed over twenty years. We make the material publicly available in the hope that others may find it useful. We're also available for presentations, lectures, and are generally open to anything mathematical and fun.;Burkard Polster | Marty Ross;Age (2007-2014) | The Sydney Morning Herald (2014-);English;Misc.;;All;https://www.qedcat.com/
Math Pickle ;n.d.;Website;Tasks, riddles, and puzzles;Gordon Hamilton;Math Pickle;English;Patterns;Yes;All;https://mathpickle.com/
Math with Bad Drawings: Illuminating the Ideas That Shape Our Reality;2000;Blog ;Blogg med vitser og innlegg om matematikk;Ben Orlin;-;English;Misc.;Yes;All;https://mathwithbaddrawings.com/
Math with Bad Drawings: Illuminating the Ideas That Shape Our Reality;2018;Book;A hilarious reeducation in mathematics-full of joy, jokes, and stick figures-that sheds light on the countless practical and wonderful ways that math structures and shapes our world.;Ben Orlin;Black Dog & Leventhal;English;Misc.;Yes;10–13;https://www.amazon.com/Math-Bad-Drawings-Illuminating-Reality/dp/0316509035/ref=pd_rhf_se_s_pd_crcd_1/138-7495430-0684424?pd_rd_w=JCfxW&pf_rd_p=ecb2692f-0365-4eca-a102-58ef51a608ce&pf_rd_r=JPP407TX13WA59AF8M0Z&pd_rd_r=cc48ecff-34ba-4be5-8fb3-8946ca09894a&pd_rd_wg=CHXbe&pd_rd_i=0316509035&psc=1
Math Without Numbers;2021;Book;"""Math Without Numbers is a vivid, conversational, and wholly original guide to the three main branches of abstract math--topology, analysis, and algebra--which turn out to be surprisingly easy to grasp. This book upends the conventional approach to math, inviting you to think creatively about shape and dimension, the infinite and infinitesimal, symmetries, proofs, and how these concepts all fit together. What awaits readers is a freewheeling tour of the inimitable joys and unsolved mysteries of this curiously powerful subject."" ~Goodreads";Milo Beckman;Dutton;English;Algebra | Analysis | Topology;Yes;Higher ed.;https://www.amazon.com/Math-Without-Numbers-Milo-Beckman/dp/1524745545
Mathbabe;2011;Blog ;"Cathy O’Neil lives in Cambridge, MA. She loves playing fiddle, playing piano, singing and doing word puzzles. She is the CEO of ORCAA and she gives talks all over the world about the dark side of algorithms and the for-profit shame industry.
";Cathy O' Neil;-;English;Algorithms;Little;Adults;https://mathbabe.org/about/
MathCuts;n.d.;Video;A resource for educators passionate about improving students’ mathematics learning and performance;-;University of Texas ;English;Misc.;Yes;All;https://www.insidemathematics.org/mathcuts
Mathemagician and Pied Puzzler: A Collection in Tribute to Martin Gardner;1999;Book;"""imaginative collection of pieces created in tribute to Martin Gardner.""";Elwyn R. Berlekamp;A K Peters;English;Problem solving | Puzzles;Yes;8–13;https://www.goodreads.com/book/show/241475.Mathemagician_and_Pied_Puzzler?ac=1&from_search=true&qid=wyEdTMWxFL&rank=1
Mathemaniac;2018–;YouTube;This channel is meant to showcase interesting but underrated maths (and physics) topics and approaches, either with completely novel topics, or a well-known topic with a novel approach. If the novel approach resonates better with you, great! But the videos have never meant to be pedagogical - in fact, please please PLEASE do NOT use YouTube videos to learn a subject.;Trevor Cheung;-;English;Misc.;;All;https://www.youtube.com/c/Mathemaniac/about
Mathematica: A Secret World of Intuition and Curiosity;2024;Book;“In this revealing book, David Bessis leads us on an earnest and personal journey into how to think mathematically: a process of exploration, making mistakes, and gradually correcting and improving one’s understanding.”—Terence Tao, 2006 Fields Medal laureate;David Bessis | Kevin Frey;Yale University Press;English | Italian;Philosophy of Mathematics;;;
Mathematical Mysteries: The Beauty and Magic of Numbers;1999;Book;Why seemingly unrelated mathematical truths are connected in simple and beautiful equations continues to stump even mathematicians. This recreational math book takes the reader on a fantastic voyage into the world of natural numbers. From the earliest discoveries of the ancient Greeks to various fundamental characteristics of the natural number sequence, Clawson explains fascinating mathematical mysteries in clear and easy prose. He delves into the heart of number theory to see and understand the exquisite relationships among natural numbers, and ends by exploring the ultimate mystery of mathematics: the Riemann hypothesis, which says that through a point in a plane, no line can be drawn parallel to a given line.While a professional mathematician's treatment of number theory involves the most sophisticated analytical tools, its basic ideas are surprisingly easy to comprehend. By concentrating on the meaning behind various equations and proofs and avoiding technical refinements, Mathematical Mysteries lets the common reader catch a glimpse of this wonderful and exotic world.;Calvin C. Clawson ;Basic Books;English;Number Theory;Yes;Adults;
