Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
Det usynlige universet;2015;Book;"""populærvitenskapelig fortelling om universet vi bor i""";Jostein  Riiser Kristiansen;Humanist forlag;Norwegian;Astrophysics;Little;All;https://www.adlibris.com/no/bok/det-usynlige-universet-9788282821407
Dice Man;1971;Book;The cult classic that can still change your life! Let the dice decide! This is the philosophy that changes the life of bored psychiatrist Luke Rhinehart -- and in some ways changes the world as well. Because once you hand over your life to the dice, anything can happen. Entertaining, humorous, scary, shocking, subversive, The Dice Man is one of the cult bestsellers of our time.;Luke Rhinehart;HarperCollins;English;Fiction | Probability;Little;All;https://www.amazon.com/Dice-Man-Luke-Rhinehart/dp/0006513905
Dominosa;n.d.;Puzzle;Find all the unique dominoes on a board. ;Simon Tatham;-;-;Logic | Programming;Yes;All;https://coolbutuseless.github.io/2019/01/28/puzzle-solving-dominosa/
Donald Duck - Mathmagic Land;1976;Short film;Donald discovers the everyday opportunities of math and why math is useful.;Disney;Disney;English;Geometry;Yes;5–10;https://www.youtube.com/watch?v=U_ZHsk0-eF0
Dots and Boxes;–;Game;Logical matchstick game for two players;-;-;-;Logic;Yes;All;https://en.wikipedia.org/wiki/Dots_and_Boxes
Dragonbox;2012;Didactics;Mathematical games intended to facilitate fun learning in mathematics. ;Jean-Baptiste Huynh;Kahoot!;English | Norwegian;Algebra | Geometry | Number Theory;Yes;1–7;https://www.barnevakten.no/apper-for-elever/
E=mc2: A Biography of the World's Most Famous Equation;2000;Book;A biography of Einstein's famous equation E=mc2.;David Bodanis | Simon Singh (Introduction);Berkley Publishing Group;English;Physics | General Relativity;Yes;10–13;https://www.goodreads.com/book/show/18667.E_mc2?ac=1&from_search=true&qid=ojTRgYKZVn&rank=2
Eksperimentboka;2009;Book;"""foslag til mange morsomme og lærerrike fosøk i fysikk. Boka kan brukes som idéhefte av lærere og av foreldre og besteforeldre som ønsker å gjøre forsøk sammen med barn og unge. Forsøkene passer også godt for den lekne og eksperimenterende voksne.""";Otto Øgrim;Kolofon;Norwegian;Physics;;1–11;https://www.adlibris.com/no/bok/eksperimentboka-9788230001509
Elementene;c. 300 BC;Book;Textbook on mathematics from antiquity. Provided the basis for modern geometry. ;Euclid;SD Books;Norwegian | English;Geometry;Yes;10–13;https://www.norli.no/boker/boker-pa-andre-sprak/the-thirteen-books-of-the-elements-vol-1?gad_source=1&gbraid=0AAAAADsxdPDeiRGGyrtLxFVMMc-cAOBsG&gclid=Cj0KCQjwoNzABhDbARIsALfY8VN9Te6uHFlgNNz7i4ywQjapwCoFgt7YZm0RDagxycWh1vRWki58QPgaAtn5EALw_wcB
Elliptic Tales: Curves, Counting, and Number Theory;2014;Book;Elliptic Tales describes the latest developments in number theory by looking at one of the most exciting unsolved problems in contemporary mathematics―the Birch and Swinnerton-Dyer Conjecture. In this book, Avner Ash and Robert Gross guide readers through the mathematics they need to understand this captivating problem.;Avner Ash | Robert Gross;Princeton University Press;English;Number Theory;Yes;Adults;
Energi: Livets fundament og sivilisasjonens grunnlag;2010;Book;Denne boka handler om energiens betydning - fra de aller eldste tider frem til vår egen tid, med et skråblikk inn i fremtidenes muligheter for energiutnyttelse. ;Øystein Kock Johansen;Kagge forlag;Norwegian;Physics;Little;All;https://www.norli.no/energi?q=popul%C3%A6rvitenskap
Euler book Prize;2005;Prize;[...] awarded annually to an author or authors of an outstanding book about mathematics. The Prize is intended to recognize authors of exceptionally well written books with a positive impact on the public's view of mathematics and to encourage the writing of such books.;Virginia Halmos | Paul Halmos ;MAA (Mathematical Association of America) ;English;Misc.;Yes;Adults;https://maa.org/euler-book-prize/
Everyday Calculus: Discovering the Hidden Math All Around Us;2014;Book;Calculus. For some of us, the word conjures up memories of ten-pound textbooks and visions of tedious abstract equations. And yet, in reality, calculus is fun, accessible, and surrounds us everywhere we go. In Everyday Calculus, Oscar Fernandez shows us how to see the math in our coffee, on the highway, and even in the night sky.;Oscar E. Fernandez;Princeton University Press;English;Calculus;Yes;Higher ed.;https://www.goodreads.com/book/show/18730621-everyday-calculus?ac=1&from_search=true&qid=5eN5OFN9zl&rank=1
Everything Is Predictable: How Bayesian Statistics Explain Our World;2024;Book;A “fascinating, witty, and perspective-shifting” (Oliver Burkeman, New York Times bestselling author) tour of Bayes’s theorem and its global impact on modern life from the acclaimed science writer and author ofThe Rationalist’s Guide to the Galaxy.;Tom Chivers;Atria/One Signal Publishers;English;Probability;;;
expii;2019;Math problem bank;Fun, thought provoking, interactive math puzzles shown through current events and pop culture designed to relate to your life.;Po-Shen Loh;Expii, Inc.;English;Logic;Some;5–13;https://expii.com/solve
Exponential Idle;2021;Game;Idle game;-;Conic Games;English;Number Theory | Large Numbers;Yes;8–10;https://exponential-idle.fandom.com/wiki/Exponential_Idle_Wiki
Factfulness - ti knep som hjelper deg å forstå verden ;2018;Book;Hans Rosling, Ola Rosling and Anna Rosling Rönnlund show why we constantly misunderstand global developments and what we can do to correct these misunderstandings. ;Hans Rosling;Cappelen Damm AS;English | Norwegian | Swedish;Statistics;Yes;8–13;https://www.norli.no/factfulness-3
Fantastic Numbers and Where To Find Them ;2022;Book;A fun, dazzling exploration of the strange numbers that illuminate the ultimate nature of reality.;Antonio (Tony) Padilla;Farrar, Straus and Giroux;English;Physics;Yes;10–13;https://www.goodreads.com/en/book/show/57693564-fantastic-numbers-and-where-to-find-them
Fearless Symmetry: Exposing the Hidden Patterns of Numbers;2008;Book;Mathematicians solve equations, or try to. But sometimes the solutions are not as interesting as the beautiful symmetric patterns that lead to them. Written in a friendly style for a general audience, Fearless Symmetry is the first popular math book to discuss these elegant and mysterious patterns and the ingenious techniques mathematicians use to uncover them.;Avner Ash | Robert Gross;Princeton University Press;English;Number Theory;Yes;Adults;
Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem;1997;Book;Book depicting the story of Fermat's Last Theorem;Simon Singh | John Lynch;Turtleback Books;English;Number theory | Biography;Yes;8–13;https://www.amazon.com/dp/0385493622?ref=exp_daily_math__dp_vv_d
Fermat's Last Theorem;1996;Documentary;Award-winning documentary about Fermat's Last Theorem;Simon Singh | John Lynch;BBC;English;Number theory;Yes;8–13;https://simonsingh.net/books/fermats-last-theorem/fermats-last-theorem-the-tv-documentary/
Fields Medal;1936–;Prize;"The ""Nobel Prize in Mathematics"". Awarded only every four years to mathematicians under the age of 40. ";J.C.Fields;International Mathematical Union ;-;Misc.;Yes;All;https://www.mathunion.org/imu-awards/fields-medal
Fiete Math;?;Didactics;Arithmetic and multiplication for children. ;-;Ahoiii Entertainment;English;Arithmetics;Yes;1–4;https://www.barnevakten.no/apper-for-elever/
Fillomino / Allied Occupation;n.d.;Puzzle;Puzzle game. The player sees the board from a bird's eye view. The numbers must match the height of the skyscrapers on the board. ;-;-;-;Logic;Some;All;https://fillomino.puzzlebaron.com/
Finding Moonshine: A Mathematician's Journey Through Symmetry;2007;Book;"This is the story of how humankind has come to its understanding of the bizarre world of symmetry – a subject of fundamental significance to the way we interpret the world around us.
";Marcus du Sautoy ;Fourth Estate;English;Geometry | Symmetry;;;https://www.amazon.com/Finding-Moonshine-Mathematicians-Journey-Symmetry/dp/0007214626
Flatland (1965);1965;Film;Animated short film based on the novella, was directed by Eric Martin and based on an idea by John Hubley;Eric Martin;?;English;Geometry;Yes;All;
Flatland (2007, Johnson & Travis film);2007;Film;95-minute animated independent feature film version directed by Ladd Ehlinger Jr., updates the satire from Victorian England to the modern-day United States;Ladd Ehlinger;Flatland Productions;English;Geometry;Yes;All;https://www.imdb.com/title/tt0972374/
Flatland 2: Sphereland;2012;Film;written as a sequel to Flatland. Kristen Bell, Michael York, and Tony Hale return, along with Danny Pudi, Danica McKellar, and Kate Mulgrew;Dano Johnson and Jeffrey Travis;Flat World Productions;English;Geometry;Yes;All;https://www.imdb.com/title/tt0972374/
Flatland: A Romance of Many Dimensions;1884;Book;"Flatland: A Romance of Many Dimensions is a satirical novella by the English schoolmaster Edwin Abbott Abbott, first published in 1884. Written pseudonymously by ""A Square"",the book used the fictional two-dimensional world of Flatland to comment on the hierarchy of Victorian culture, but the novella's more enduring contribution is its examination of dimensions.
";Edwin A. Abbott | Banesh Hoffmann (Introduction);Dover Publications Inc.;English;Geometry;Some;All;https://www.goodreads.com/book/show/433567.Flatland
Flatland: The Movie;2007;Film;34-minute animated educational film;Dano Johnson and Jeffrey Travis;Flat World Productions;English;Geometry;Yes;All;https://www.imdb.com/title/tt0972374/
Flatterland;2001;Book;2001 book written by mathematician and science popularizer Ian Stewart about non-Euclidean geometry.[1][2][3][4] It was written as a sequel to Flatland, an 1884 novel that discussed different dimensions.;Ian Stewart;Perseus Publishing;English;Geometry | Non-euclidean geometry;Yes;All;
Folkeopplysningen ;2012–2020;TV show;Forskningsformidling / myteknusing ;Andreas Wahl | Christian Holm-Glaad;NRK;Norwegian;Misc.;Little;All;https://amazon.com/Humble-Pi-When-Wrong-World/dp/0593084683
Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets;2008;Book;This book is about luck–or more precisely, about how we perceive and deal with luck in life and business. Set against the backdrop of the most conspicuous forum in which luck is mistaken for skill–the world of trading–Fooled by Randomness provides captivating insight into one of the least understood factors in all our lives. Writing in an entertaining narrative style, the author tackles major intellectual issues related to the underestimation of the influence of happenstance on our lives.;Nassim Nicholas Taleb ;Random House;English;Probability;;;
Forever Undecided: A Puzzle Guide To Gödel;1987;Book;A challenging puzzle collection and an instructive and entertaining introduction to Kurt Godel's famous theorems, including incompleteness and undecidability. Much of the action of the book takes place . ~Goodreadson an imaginary and magical island, the Island of Knights and Knaves, where knights always make true statements, knaves always make false statements, and every inhabitant is either a knight or a knave.;Raymond M. Smullyan;Oxford Paperbacks;English;Puzzles | Logic;Yes;All;https://www.goodreads.com/book/show/493575.Forever_Undecided
forskning.no ;2021;News outlet;Nettavis med norske og internasjonale forskningsnyheter;Nina Kristiansen;Foreningen for drift av forskning.no;Norwegian;Misc.;Little;All;https://forskning.no/
Fra fysikkens verden (FFV);1962–;Journal;The member magazine of the Norwegian Physical Society. The magazine is published four times a year and contains articles about developments in Norwegian and international physics. The articles are written in a popular style, and anyone interested in physics is welcome to subscribe.;Øyvind Grøn (ed.) | Carl Angell (ed.);Norsk Fysisk Selskap;Norwegian;Physics;;All;https://www.norskfysisk.no/fra-fysikkens-verden/tidligere-utgaver-av-fra-fysikkens-verden/
Freakonomics;2009;Book;"Which is more dangerous, a gun or a swimming pool?

What do schoolteachers and sumo wrestlers have in common?

How much do parents really matter?

These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He studies the riddles of everyday life—from cheating and crime to parenting and sports—and reaches conclusions that turn conventional wisdom on its head.

Freakonomics is a groundbreaking collaboration between Levitt and Stephen J. Dubner, an award-winning author and journalist. They set out to explore the inner workings of a crack gang, the truth about real estate agents, the secrets of the Ku Klux Klan, and much more.

Through forceful storytelling and wry insight, they show that economics is, at root, the study of incentives—how people get what they want or need, especially when other people want or need the same thing.";Steven D. Levitt | Stephen J. Dubner;William Morrow Paperbacks;English;Economics;Yes;All;https://www.amazon.com/Freakonomics-Economist-Explores-Hidden-Everything/dp/0060731338
